grantee,Year,Funder Name,Location,Funder NameLocation,Amount,Purpose
Foundation Fighting Blindness Inc.,2020,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$100,General support
Foundation Fighting Blindness Inc.,2020,Carmax Foundation,"Richmond, VA","Carmax Foundation   Richmond, VA",$90,Matching dollars
Foundation Fighting Blindness Inc.,2020,Edwards Lifesciences Foundation,"Irvine, CA","Edwards Lifesciences Foundation   Irvine, CA",$53,Matching gifts grant
Foundation Fighting Blindness Inc.,2020,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$53,General support
Foundation Fighting Blindness Inc.,2020,Seckinger Foundation Corporation,"Miami, FL","Seckinger Foundation Corporation   Miami, FL",$50,Medical research
Foundation Fighting Blindness Inc.,2020,Assurant Foundation,"Atlanta, GA","Assurant Foundation   Atlanta, GA",$50,Financial assistance
Foundation Fighting Blindness Inc.,2020,Webster Bank Charitable Foundation,"Wilmington, DE","Webster Bank Charitable Foundation   Wilmington, DE",$50,General & unrestricted
Foundation Fighting Blindness Inc.,2020,Parr Family Charitable Foundation,"Morristown, NJ","Parr Family Charitable Foundation   Morristown, NJ",$25,General
Foundation Fighting Blindness Inc.,2020,Robert & Gail Edelstein Foundation Inc.,"Palm Bch Gdns, FL","Robert & Gail Edelstein Foundation Inc.   Palm Bch Gdns, FL",$0,Supportthe charity'spurpose
Foundation Fighting Blindness Inc.,2019,George Gund Foundation,"Cleveland, OH","George Gund Foundation   Cleveland, OH","$2,000,000",Retinal degenerative disease research.
Foundation Fighting Blindness Inc.,2019,Goatee Foundation T A Tr,"Brooklyn, OH","Goatee Foundation T A Tr   Brooklyn, OH","$1,000,000",1st and 2nd installment of 4 year pledge
Foundation Fighting Blindness Inc.,2019,Fidelity Investments Charitable Gift Fund,"Boston, MA","Fidelity Investments Charitable Gift Fund   Boston, MA","$468,742",For grant recipient's exempt purposes
Foundation Fighting Blindness Inc.,2019,National Christian Charitable Foundation,"Alpharetta, GA","National Christian Charitable Foundation   Alpharetta, GA","$412,719",Growth
Foundation Fighting Blindness Inc.,2019,Donor Advised Charitable Giving,"San Francisco, CA","Donor Advised Charitable Giving   San Francisco, CA","$240,368",Health
Foundation Fighting Blindness Inc.,2019,David E Simon & Jacqueline S Simon Charitable Foundation,"Indianapolis, IN","David E Simon & Jacqueline S Simon Charitable Foundation   Indianapolis, IN","$200,000",Contribution to general operating support
Foundation Fighting Blindness Inc.,2019,Diana Davis Spencer Foundation,"Bethesda, MD","Diana Davis Spencer Foundation   Bethesda, MD","$200,000",Project/program title: future leaders in retina care and retinal disease research: the diana davis spencer career development program
Foundation Fighting Blindness Inc.,2019,Indian River Community Foundation,"Vero Beach, FL","Indian River Community Foundation   Vero Beach, FL","$200,000",General operating
Foundation Fighting Blindness Inc.,2019,Max And Minnie Tomerlin Voelcker Fund,"San Antonio, TX","Max And Minnie Tomerlin Voelcker Fund   San Antonio, TX","$175,000",Grant to fund age related macular degeneration research
Foundation Fighting Blindness Inc.,2019,Morgan Stanley Global Impact Funding Trust Inc.,"Indianapolis, IN","Morgan Stanley Global Impact Funding Trust Inc.   Indianapolis, IN","$100,000",Unrestricted general support
Foundation Fighting Blindness Inc.,2019,Morgan Stanley Global Impact Funding Trust Inc.,"Indianapolis, IN","Morgan Stanley Global Impact Funding Trust Inc.   Indianapolis, IN","$100,000",Unrestricted general support
Foundation Fighting Blindness Inc.,2019,Perot Foundation,"Dallas, TX","Perot Foundation   Dallas, TX","$100,000",Make a difference for people living with retinal diseases and discover the ways you can help.
Foundation Fighting Blindness Inc.,2019,George L Ohrstom Jr Foundation Inc.,"Fort Lauderdale, FL","George L Ohrstom Jr Foundation Inc.   Fort Lauderdale, FL","$100,000",In support of gene editing research
Foundation Fighting Blindness Inc.,2019,Cranberry Cup Charitable Association Inc.,"Concord, MA","Cranberry Cup Charitable Association Inc.   Concord, MA","$55,000",To help organization meet its charitable purposeto help the organization meet its charitable purpose
Foundation Fighting Blindness Inc.,2019,Jewish Communal Fund,"New York, NY","Jewish Communal Fund   New York, NY","$52,160",General support
Foundation Fighting Blindness Inc.,2019,Trust For Leo W & Lilyan E Cole Fund Uw,"Chicago, IL","Trust For Leo W & Lilyan E Cole Fund Uw   Chicago, IL","$50,000",General
Foundation Fighting Blindness Inc.,2019,United Jewish Community Of Broward County Inc.,"Davie, FL","United Jewish Community Of Broward County Inc.   Davie, FL","$50,000",Grants to social welfare and educational activities are consistent with the goals and purpose of the federation.
Foundation Fighting Blindness Inc.,2019,Duffy Foundation,"Ann Arbor, MI","Duffy Foundation   Ann Arbor, MI","$50,000",Use consistent w/501(c)(3) status
Foundation Fighting Blindness Inc.,2019,Mai Family Foundation,"New York, NY","Mai Family Foundation   New York, NY","$50,000",Charitable
Foundation Fighting Blindness Inc.,2019,Enterprise Foundation Tr,"New York, NY","Enterprise Foundation Tr   New York, NY","$50,000",General support
Foundation Fighting Blindness Inc.,2019,Hagedorn Fund,"Chicago, IL","Hagedorn Fund   Chicago, IL","$45,000",General
Foundation Fighting Blindness Inc.,2019,Allen B Cutting Foundation,"Palm City, FL","Allen B Cutting Foundation   Palm City, FL","$40,000",Education
Foundation Fighting Blindness Inc.,2019,Nsa Inc,"Whitestone, NY","Nsa Inc   Whitestone, NY","$31,000",Contribution to help donee in their figth to eradicate blindness
Foundation Fighting Blindness Inc.,2019,Charlottesville Area Community Foundation,"Charlottesvle, VA","Charlottesville Area Community Foundation   Charlottesvle, VA","$30,000",The general fund
Foundation Fighting Blindness Inc.,2019,Papa Family Charitable Trust,"Naples, FL","Papa Family Charitable Trust   Naples, FL","$30,000",Charitable activities
Foundation Fighting Blindness Inc.,2019,The Rhode Island Community Foundation,"Providence, RI","The Rhode Island Community Foundation   Providence, RI","$29,500",Advancing research to overcome macular degeneration 2019 -2020
Foundation Fighting Blindness Inc.,2019,Paypal Charitable Giving Fund,"Washington, DC","Paypal Charitable Giving Fund   Washington, DC","$25,577",
Foundation Fighting Blindness Inc.,2019,Mann Paller Foundation Inc.,"Bethesda, MD","Mann Paller Foundation Inc.   Bethesda, MD","$25,000",General
Foundation Fighting Blindness Inc.,2019,Morgan Stanley Global Impact Funding Trust Inc.,"Indianapolis, IN","Morgan Stanley Global Impact Funding Trust Inc.   Indianapolis, IN","$25,000",Unrestricted general support
Foundation Fighting Blindness Inc.,2019,Diana Davis Spencer Foundation,"Bethesda, MD","Diana Davis Spencer Foundation   Bethesda, MD","$25,000","For efforts to discover the preventions, treatments, and cures for blinding retinal disease"
Foundation Fighting Blindness Inc.,2019,Dianne And David Stern Foundation,"New York, NY","Dianne And David Stern Foundation   New York, NY","$25,000",General support
Foundation Fighting Blindness Inc.,2019,National Philanthropic Tr,"Jenkintown, PA","National Philanthropic Tr   Jenkintown, PA","$22,250",Health
Foundation Fighting Blindness Inc.,2019,Mabel H Flory Charitable Trust,"Orlando, FL","Mabel H Flory Charitable Trust   Orlando, FL","$20,000",Research
Foundation Fighting Blindness Inc.,2019,Phyllis M Coors Foundation,"Wilmington, DE","Phyllis M Coors Foundation   Wilmington, DE","$20,000",General & unrestricted
Foundation Fighting Blindness Inc.,2019,Wasserman Foundation,"Los Angeles, CA","Wasserman Foundation   Los Angeles, CA","$20,000",The campaign to end blindness
Foundation Fighting Blindness Inc.,2019,Wasserman Foundation,"Los Angeles, CA","Wasserman Foundation   Los Angeles, CA","$20,000",The campaign to end blindness
Foundation Fighting Blindness Inc.,2019,Key Food Stores Foundation Inc.,"Matawan, NJ","Key Food Stores Foundation Inc.   Matawan, NJ","$16,000",Charitable
Foundation Fighting Blindness Inc.,2019,Raymond James Charitable Endowment Fund,"St. Petersburg, FL","Raymond James Charitable Endowment Fund   St. Petersburg, FL","$15,750",General use
Foundation Fighting Blindness Inc.,2019,Medical Research Charities Inc.,"Salem, MA","Medical Research Charities Inc.   Salem, MA","$15,160",To assist in the organization's exempt purposes.
Foundation Fighting Blindness Inc.,2019,Foundation For The Carolinas,"Charlotte, NC","Foundation For The Carolinas   Charlotte, NC","$15,000",Charitable gift
Foundation Fighting Blindness Inc.,2019,Princeton Area Community Foundation Inc.,"Princeton, NJ","Princeton Area Community Foundation Inc.   Princeton, NJ","$15,000",Annual fund
Foundation Fighting Blindness Inc.,2019,The Martyn Foundation,"Wilmington, DE","The Martyn Foundation   Wilmington, DE","$15,000",General & unrestricted
Foundation Fighting Blindness Inc.,2019,Amy Beck Charitable Foundation,"Brookville, NY","Amy Beck Charitable Foundation   Brookville, NY","$14,000",For charitable purposes
Foundation Fighting Blindness Inc.,2019,Jewish Federation Of Metropolitan Chicago,"Chicago, IL","Jewish Federation Of Metropolitan Chicago   Chicago, IL","$11,750",Grants from donor advised funds - operating support
Foundation Fighting Blindness Inc.,2019,Delta Gamma Foundation,"Upper Arlngtn, OH","Delta Gamma Foundation   Upper Arlngtn, OH","$10,650",Aid for blind
Foundation Fighting Blindness Inc.,2019,Kupferberg Foundation Incorporated,"Wilmington, DE","Kupferberg Foundation Incorporated   Wilmington, DE","$10,000",General support
Foundation Fighting Blindness Inc.,2019,Greater Houston Community Foundation,"Houston, TX","Greater Houston Community Foundation   Houston, TX","$10,000",Disease/disorder
Foundation Fighting Blindness Inc.,2019,Bangs Russell Foundation,"Williamsburg, VA","Bangs Russell Foundation   Williamsburg, VA","$10,000",Operations
Foundation Fighting Blindness Inc.,2019,Julius Fleischman Foundation Inc.,"Ocala, FL","Julius Fleischman Foundation Inc.   Ocala, FL","$10,000",Research to cure blindness
Foundation Fighting Blindness Inc.,2019,Usher 2020 Foundation Inc.,"Atlanta, GA","Usher 2020 Foundation Inc.   Atlanta, GA","$10,000",Research for prevention of usher syndrome blindness.
Foundation Fighting Blindness Inc.,2019,Usher 2020 Foundation Inc.,"Atlanta, GA","Usher 2020 Foundation Inc.   Atlanta, GA","$10,000",Research for prevention of usher syndrome blindness.
Foundation Fighting Blindness Inc.,2019,Richard Paul And Ellen S Richman Private Family Foundation Tr Agre,"Greenwich, CT","Richard Paul And Ellen S Richman Private Family Foundation Tr Agre   Greenwich, CT","$10,000",Support operations
Foundation Fighting Blindness Inc.,2019,Community Foundation Of Greater Greensboro Inc.,"Greensboro, NC","Community Foundation Of Greater Greensboro Inc.   Greensboro, NC","$10,000",General support
Foundation Fighting Blindness Inc.,2019,Lions Club Of Chaska,"Chaska, MN","Lions Club Of Chaska   Chaska, MN","$10,000",
Foundation Fighting Blindness Inc.,2019,George W Bauer Family Foundation,"Cranford, NJ","George W Bauer Family Foundation   Cranford, NJ","$10,000",Unrestricted
Foundation Fighting Blindness Inc.,2019,Community Foundation Of Greater Greensboro Inc.,"Greensboro, NC","Community Foundation Of Greater Greensboro Inc.   Greensboro, NC","$10,000",General support
Foundation Fighting Blindness Inc.,2019,Lions Club Of Chaska,"Chaska, MN","Lions Club Of Chaska   Chaska, MN","$10,000",
Foundation Fighting Blindness Inc.,2019,George W Bauer Family Foundation,"Cranford, NJ","George W Bauer Family Foundation   Cranford, NJ","$10,000",Unrestricted
Foundation Fighting Blindness Inc.,2019,United Way Worldwide,"Alexandria, VA","United Way Worldwide   Alexandria, VA","$9,392",General charitable operation
Foundation Fighting Blindness Inc.,2019,Linda And Alan Kahn Foundation Inc.,"Forest Hills, NY","Linda And Alan Kahn Foundation Inc.   Forest Hills, NY","$7,650",General support grant
Foundation Fighting Blindness Inc.,2019,Naperville Noon Lions Foundation,"Naperville, IL","Naperville Noon Lions Foundation   Naperville, IL","$7,500",Grant to help those affected by blindness
Foundation Fighting Blindness Inc.,2019,Petoskey Harbor Springs Area Community Foundation,"Petoskey, MI","Petoskey Harbor Springs Area Community Foundation   Petoskey, MI","$6,000",General support
Foundation Fighting Blindness Inc.,2019,Silicon Valley Community Foundation,"Mountain View, CA","Silicon Valley Community Foundation   Mountain View, CA","$5,200",Health
Foundation Fighting Blindness Inc.,2019,George Gund Foundation,"Cleveland, OH","George Gund Foundation   Cleveland, OH","$5,000",Visionwalk.
Foundation Fighting Blindness Inc.,2019,Chase Family Foundation,"Burnsville, MN","Chase Family Foundation   Burnsville, MN","$5,000",Medical
Foundation Fighting Blindness Inc.,2019,Zuckerman Family Foundation,"Glencoe, IL","Zuckerman Family Foundation   Glencoe, IL","$5,000",Public charity support
Foundation Fighting Blindness Inc.,2019,The Mericos Foundation,"Pasadena, CA","The Mericos Foundation   Pasadena, CA","$5,000",Supporting save sight now fundraising campaign for ush1b research
Foundation Fighting Blindness Inc.,2019,Millie Luing Foundation Inc.,"Woodland Park, NJ","Millie Luing Foundation Inc.   Woodland Park, NJ","$5,000",An unrestricted grant to further the organization's exempt purpose.
Foundation Fighting Blindness Inc.,2019,Beth And Ravenel Curry Foundation,"Erie, PA","Beth And Ravenel Curry Foundation   Erie, PA","$5,000",Unrestricted
Foundation Fighting Blindness Inc.,2019,Donahue Charitable Foundation,"Charlotte, NC","Donahue Charitable Foundation   Charlotte, NC","$5,000",Eye disease research
Foundation Fighting Blindness Inc.,2019,Richman Family Foundation,"New York, NY","Richman Family Foundation   New York, NY","$5,000",General support
Foundation Fighting Blindness Inc.,2019,Beth And Ravenel Curry Foundation,"Erie, PA","Beth And Ravenel Curry Foundation   Erie, PA","$5,000",Unrestricted
Foundation Fighting Blindness Inc.,2019,Zuckerman Family Foundation,"Glencoe, IL","Zuckerman Family Foundation   Glencoe, IL","$5,000",Public charity support
Foundation Fighting Blindness Inc.,2019,Chase Family Foundation,"Burnsville, MN","Chase Family Foundation   Burnsville, MN","$5,000",Medical
Foundation Fighting Blindness Inc.,2019,George Gund Foundation,"Cleveland, OH","George Gund Foundation   Cleveland, OH","$5,000",Visionwalk.
Foundation Fighting Blindness Inc.,2019,The Mericos Foundation,"Pasadena, CA","The Mericos Foundation   Pasadena, CA","$5,000",Supporting save sight now fundraising campaign for ush1b research
Foundation Fighting Blindness Inc.,2019,Community Foundation Of New Jersey,"Morristown, NJ","Community Foundation Of New Jersey   Morristown, NJ","$5,000",General support
Foundation Fighting Blindness Inc.,2019,William And Anne Harrison Foundation,"Chicago, IL","William And Anne Harrison Foundation   Chicago, IL","$5,000",General
Foundation Fighting Blindness Inc.,2019,Josephine Herbert Gleis Foundation,"Corona Dl Mar, CA","Josephine Herbert Gleis Foundation   Corona Dl Mar, CA","$5,000",General use
Foundation Fighting Blindness Inc.,2019,Diana Davis Spencer Foundation,"Bethesda, MD","Diana Davis Spencer Foundation   Bethesda, MD","$5,000",To support the 17th annual love of sight dinner
Foundation Fighting Blindness Inc.,2019,Millie Luing Foundation Inc.,"Woodland Park, NJ","Millie Luing Foundation Inc.   Woodland Park, NJ","$5,000",An unrestricted grant to further the organization's exempt purpose.
Foundation Fighting Blindness Inc.,2019,The Community Foundatio Of Louisville Depository Inc.,"Louisville, KY","The Community Foundatio Of Louisville Depository Inc.   Louisville, KY","$5,000",Medical research
Foundation Fighting Blindness Inc.,2019,Diana Davis Spencer Foundation,"Bethesda, MD","Diana Davis Spencer Foundation   Bethesda, MD","$5,000",To support the 10th annual montgomery county visionwalk
Foundation Fighting Blindness Inc.,2019,Diana Davis Spencer Foundation,"Bethesda, MD","Diana Davis Spencer Foundation   Bethesda, MD","$5,000","To support the research that will lead to prevention, treatments and vision restoration for degenerative retinal diseases"
Foundation Fighting Blindness Inc.,2019,Rbg Inc.,"Denver, CO","Rbg Inc.   Denver, CO","$4,500",Medical research
Foundation Fighting Blindness Inc.,2019,World Wide Technology Foundation,"Saint Louis, MO","World Wide Technology Foundation   Saint Louis, MO","$3,992",To further the exempt purpose of the recipient organization
Foundation Fighting Blindness Inc.,2019,H Herbert Myers Memorial Foundation,"Parsippany, NJ","H Herbert Myers Memorial Foundation   Parsippany, NJ","$3,000",Unrestricted
Foundation Fighting Blindness Inc.,2019,Michael And Mary Johnston Foundation Inc.,"Watchung, NJ","Michael And Mary Johnston Foundation Inc.   Watchung, NJ","$3,000",General use
Foundation Fighting Blindness Inc.,2019,Jpmorgan Chase Foundation,"New York, NY","Jpmorgan Chase Foundation   New York, NY","$2,754",General operating support
Foundation Fighting Blindness Inc.,2019,The William N And Elizabeth A Rieth Charitable Foundation,"South Bend, IN","The William N And Elizabeth A Rieth Charitable Foundation   South Bend, IN","$2,500",General support
Foundation Fighting Blindness Inc.,2019,Weissman Family Foundation Inc.,"Rye, NY","Weissman Family Foundation Inc.   Rye, NY","$2,500",Unrestricted
Foundation Fighting Blindness Inc.,2019,George Kress Foundation,"Green Bay, WI","George Kress Foundation   Green Bay, WI","$2,500",Program support
Foundation Fighting Blindness Inc.,2019,Blue Cross And Blue Shield Of Florida Foundation Inc.,"Jacksonville, FL","Blue Cross And Blue Shield Of Florida Foundation Inc.   Jacksonville, FL","$2,500",Jacksonville ffb programs
Foundation Fighting Blindness Inc.,2019,Moritz Fam Foundation,"Columbus, OH","Moritz Fam Foundation   Columbus, OH","$2,000",Health
Foundation Fighting Blindness Inc.,2019,Mark P & Joyce A Davis Char Tr,"Dallas, TX","Mark P & Joyce A Davis Char Tr   Dallas, TX","$2,000",Unrestricted general
Foundation Fighting Blindness Inc.,2019,Robert And Eleanor Demple Family Foundation,"Sheridan, WY","Robert And Eleanor Demple Family Foundation   Sheridan, WY","$1,500",Health
Foundation Fighting Blindness Inc.,2019,Shell Usa Company Foundation,"Houston, TX","Shell Usa Company Foundation   Houston, TX","$1,305",Mg
Foundation Fighting Blindness Inc.,2019,Judith And Donald Bechler Foundation Inc.,"Plainview, NY","Judith And Donald Bechler Foundation Inc.   Plainview, NY","$1,250",Unrestricted
Foundation Fighting Blindness Inc.,2019,Abbvie Foundation,"North Chicago, IL","Abbvie Foundation   North Chicago, IL","$1,078",Matching grants
Foundation Fighting Blindness Inc.,2019,Greater Houston Community Foundation,"Houston, TX","Greater Houston Community Foundation   Houston, TX","$1,000",Disease/disorder
Foundation Fighting Blindness Inc.,2019,The Peter Dartley Charitable Trust,"Vero Beach, FL","The Peter Dartley Charitable Trust   Vero Beach, FL","$1,000",To aid the donee organizations in carrying out their exempt functions.
Foundation Fighting Blindness Inc.,2019,John Albuerne Family Foundation,"Melville, NY","John Albuerne Family Foundation   Melville, NY","$1,000","To drive the research that would lead to preventions, treatments and vision restoration for the degenerative retinal diseases"
Foundation Fighting Blindness Inc.,2019,Rosenberg Ach Foundation,"San Francisco, CA","Rosenberg Ach Foundation   San Francisco, CA","$1,000",Health
Foundation Fighting Blindness Inc.,2019,Robert & Elizabeth Lowe Family Foundation,"Los Angeles, CA","Robert & Elizabeth Lowe Family Foundation   Los Angeles, CA","$1,000","Fighting blindness by research that will provide preventions, treatments and cures."
Foundation Fighting Blindness Inc.,2019,Jake And Jeanne Sweeney Foundation,"Cincinnati, OH","Jake And Jeanne Sweeney Foundation   Cincinnati, OH","$1,000",General usage
Foundation Fighting Blindness Inc.,2019,Odonnell Family Foundation Tr,"Radnor, PA","Odonnell Family Foundation Tr   Radnor, PA","$1,000",General & unrestricted
Foundation Fighting Blindness Inc.,2019,Koret Foundation,"San Francisco, CA","Koret Foundation   San Francisco, CA","$1,000",For visionwalk in honor of sara-jane cohen
Foundation Fighting Blindness Inc.,2019,Ruth And Jack Glantz Family Foundation Inc.,"Wilmington, DE","Ruth And Jack Glantz Family Foundation Inc.   Wilmington, DE","$1,000",50% program and services / 50% general support
Foundation Fighting Blindness Inc.,2019,Goldenberg Family Foundation Dtd 12 11 2018,"Saint Louis, MO","Goldenberg Family Foundation Dtd 12 11 2018   Saint Louis, MO","$1,000",General support
Foundation Fighting Blindness Inc.,2019,The Tlc Starfish Foundation Ltd.,"Glen Cove, NY","The Tlc Starfish Foundation Ltd.   Glen Cove, NY","$1,000",Funding
Foundation Fighting Blindness Inc.,2019,Jack Hogan Charitable Foundation,"Goodyear, AZ","Jack Hogan Charitable Foundation   Goodyear, AZ","$1,000",Research retinal degeneration diseases
Foundation Fighting Blindness Inc.,2019,Horne Family Charitable Foundation,"Wheeling, WV","Horne Family Charitable Foundation   Wheeling, WV","$1,000",Carry out exempt purpose
Foundation Fighting Blindness Inc.,2019,Gates Of Chai,"Fort Worth, TX","Gates Of Chai   Fort Worth, TX","$1,000",General support
Foundation Fighting Blindness Inc.,2019,Jd Foundation,"Nashua, NH","Jd Foundation   Nashua, NH","$1,000",General purposes
Foundation Fighting Blindness Inc.,2019,Neel Foundation,"Croton Hdsn, NY","Neel Foundation   Croton Hdsn, NY",$550,Donation
Foundation Fighting Blindness Inc.,2019,James R And Lesley B Anixter Family Foundation,"Highland Park, IL","James R And Lesley B Anixter Family Foundation   Highland Park, IL",$545,To further the mission of the donee
Foundation Fighting Blindness Inc.,2019,Berley Family Foundation Inc.,"New York, NY","Berley Family Foundation Inc.   New York, NY",$500,General
Foundation Fighting Blindness Inc.,2019,Richard And Mary L Gray Foundation,"Chicago, IL","Richard And Mary L Gray Foundation   Chicago, IL",$500,General unrestricted
Foundation Fighting Blindness Inc.,2019,Half Moon Foundation,"New Canaan, CT","Half Moon Foundation   New Canaan, CT",$500,Charitable
Foundation Fighting Blindness Inc.,2019,Robert Wood Johnson Foundation,"Princeton, NJ","Robert Wood Johnson Foundation   Princeton, NJ",$500,Matching gifts
Foundation Fighting Blindness Inc.,2019,Bubes Family Foundation Inc,"Boca Raton, FL","Bubes Family Foundation Inc   Boca Raton, FL",$500,Charitable
Foundation Fighting Blindness Inc.,2019,Phyllis And Donald Kahn Foundation Inc.,"Minneapolis, MN","Phyllis And Donald Kahn Foundation Inc.   Minneapolis, MN",$500,General charitable purposes
Foundation Fighting Blindness Inc.,2019,Steven B Schonfeld Foundation,"Jericho, NY","Steven B Schonfeld Foundation   Jericho, NY",$500,"To drive the research that will provide preventions, treatments and cures, for people affected by retinitis pigmentosa, macular degeneration, usher syndrome, and the spectrum of retinal degenerative diseases."
Foundation Fighting Blindness Inc.,2019,Hyman & Ruth Muss Foundation Inc.,"Forest Hills, NY","Hyman & Ruth Muss Foundation Inc.   Forest Hills, NY",$500,Charitable
Foundation Fighting Blindness Inc.,2019,Helen And Harry Saul Foundation,"Brentwood, TN","Helen And Harry Saul Foundation   Brentwood, TN",$500,General operations
Foundation Fighting Blindness Inc.,2019,Daniel And Karen Lee Family Foundation,"Glencoe, IL","Daniel And Karen Lee Family Foundation   Glencoe, IL",$500,Support general operations
Foundation Fighting Blindness Inc.,2019,Xcel Energy Foundation,"Minneapolis, MN","Xcel Energy Foundation   Minneapolis, MN",$305,Matching employee donations
Foundation Fighting Blindness Inc.,2019,Gupta Foundation,"Springfield, VA","Gupta Foundation   Springfield, VA",$300,Advanced retina research
Foundation Fighting Blindness Inc.,2019,Donna And Steven Aptekar Family Foundation,"Boca Raton, FL","Donna And Steven Aptekar Family Foundation   Boca Raton, FL",$300,General contribution
Foundation Fighting Blindness Inc.,2019,Charles And Frances Kempler Foundation,"Elk Grove Vlg, IL","Charles And Frances Kempler Foundation   Elk Grove Vlg, IL",$250,General support
Foundation Fighting Blindness Inc.,2019,Motorola Solutions Foundation,"Chicago, IL","Motorola Solutions Foundation   Chicago, IL",$200,General operating support
Foundation Fighting Blindness Inc.,2019,The Colorado Health Foundation,"Denver, CO","The Colorado Health Foundation   Denver, CO",$200,Matching contribution to support the organization
Foundation Fighting Blindness Inc.,2019,The Bierly Boasberg Foundation,"West Newton, MA","The Bierly Boasberg Foundation   West Newton, MA",$200,General donation
Foundation Fighting Blindness Inc.,2019,Nathan Casselman Foundation Inc.,"Dallas, TX","Nathan Casselman Foundation Inc.   Dallas, TX",$200,"To fund research for preventions, treatments and cures for people affected by degenerative retinal diseases"
Foundation Fighting Blindness Inc.,2019,Davidson Foundation For Music Dance And Dramatic Arts,"Los Angeles, CA","Davidson Foundation For Music Dance And Dramatic Arts   Los Angeles, CA",$100,Assistance
Foundation Fighting Blindness Inc.,2019,Community Foundation Of Greater Memphis Inc.,"Memphis, TN","Community Foundation Of Greater Memphis Inc.   Memphis, TN",$100,General operational support
Foundation Fighting Blindness Inc.,2019,Webster Bank Charitable Foundation,"Wilmington, DE","Webster Bank Charitable Foundation   Wilmington, DE",$100,General & unrestricted
Foundation Fighting Blindness Inc.,2019,Carmax Foundation,"Richmond, VA","Carmax Foundation   Richmond, VA",$40,Associate matching dollars
Foundation Fighting Blindness Inc.,2019,Carmax Foundation,"Richmond, VA","Carmax Foundation   Richmond, VA",$25,Associate matching dollars
Foundation Fighting Blindness Inc.,2019,Parr Family Charitable Foundation,"Morristown, NJ","Parr Family Charitable Foundation   Morristown, NJ",$25,General
Foundation Fighting Blindness Inc.,2019,Robert & Gail Edelstein Foundation Inc.,"Palm Bch Gdns, FL","Robert & Gail Edelstein Foundation Inc.   Palm Bch Gdns, FL",$0,Supportthe charity'spurpose
Foundation Fighting Blindness Inc.,2018,George Gund Foundation,"Cleveland, OH","George Gund Foundation   Cleveland, OH","$2,000,000",Retinal degenerative disease research.
Foundation Fighting Blindness Inc.,2018,George Gund Foundation,"Cleveland, OH","George Gund Foundation   Cleveland, OH","$1,000,000",My retina tracker.
Foundation Fighting Blindness Inc.,2018,Fidelity Investments Charitable Gift Fund,"Boston, MA","Fidelity Investments Charitable Gift Fund   Boston, MA","$438,605",For grant recipient's exempt purposes
Foundation Fighting Blindness Inc.,2018,Indian River Community Foundation,"Vero Beach, FL","Indian River Community Foundation   Vero Beach, FL","$200,000",General operating
Foundation Fighting Blindness Inc.,2018,Catalyst Foundation,"Salt Lake Cty, UT","Catalyst Foundation   Salt Lake Cty, UT","$200,000",General charitable purpose
Foundation Fighting Blindness Inc.,2018,Giving Grousbeck Fazzalari,"Seattle, WA","Giving Grousbeck Fazzalari   Seattle, WA","$150,000",General
Foundation Fighting Blindness Inc.,2018,Jewish Communal Fund,"New York, NY","Jewish Communal Fund   New York, NY","$145,717",General support
Foundation Fighting Blindness Inc.,2018,National Christian Charitable Foundation,"Alpharetta, GA","National Christian Charitable Foundation   Alpharetta, GA","$107,950",Growth
Foundation Fighting Blindness Inc.,2018,Perot Foundation,"Dallas, TX","Perot Foundation   Dallas, TX","$100,000",Make a difference for people living with retinal diseases and discover the ways you can help.
Foundation Fighting Blindness Inc.,2018,John & Diane Prewitt Family Foundation,"Wildomar, CA","John & Diane Prewitt Family Foundation   Wildomar, CA","$100,000",Charitable
Foundation Fighting Blindness Inc.,2018,The Greater New Orleans Foundation,"New Orleans, LA","The Greater New Orleans Foundation   New Orleans, LA","$93,000",Health
Foundation Fighting Blindness Inc.,2018,Network For Good Inc.,"Washington, DC","Network For Good Inc.   Washington, DC","$71,892",Unrestricted
Foundation Fighting Blindness Inc.,2018,Michael W Louis Private Foundation,"Lake Geneva, WI","Michael W Louis Private Foundation   Lake Geneva, WI","$70,000",General contribution
Foundation Fighting Blindness Inc.,2018,Usher 2020 Foundation Inc.,"Atlanta, GA","Usher 2020 Foundation Inc.   Atlanta, GA","$60,000",Research for prevention of usher syndrome blindness.
Foundation Fighting Blindness Inc.,2018,Morgan Stanley Global Impact Funding Trust Inc.,"Indianapolis, IN","Morgan Stanley Global Impact Funding Trust Inc.   Indianapolis, IN","$50,250",Unrestricted general support
Foundation Fighting Blindness Inc.,2018,Cranberry Cup Charitable Association Inc.,"Concord, MA","Cranberry Cup Charitable Association Inc.   Concord, MA","$50,000",To help organization meet its charitable purposeto help the organization meet its charitable purpose
Foundation Fighting Blindness Inc.,2018,Mai Family Foundation,"New York, NY","Mai Family Foundation   New York, NY","$50,000",Charitable
Foundation Fighting Blindness Inc.,2018,Medical Research Charities Inc.,"Salem, MA","Medical Research Charities Inc.   Salem, MA","$43,013",To assist in the organization's exempt purposes.
Foundation Fighting Blindness Inc.,2018,The San Diego Foundation,"San Diego, CA","The San Diego Foundation   San Diego, CA","$40,500","Diseases, disorders & medical disciplines"
